data/text
@USER कौन कहता है की     दफनाए हुए को          जलाया नही जाता आई थी मेरी कब्र पे        मुझसे मिलने अपने…
@USER सोशल मीडिया के वजह से अजमेर दरगाह में सर पटकने वाले हिंदुओ में  की कमी आई हैघोर असहिष्णुता
@USER       और  के नए म्यूजिक वीडियो  का पोस्टर रि…
@USER इज़रायली सॉफ्टवेयर पेगासस की मदद से देश के पत्रकारों नेताओं और अन्य हस्तियों को निशाना बनाया गया था। इस दौरान फोन हैकिंग की…
@USER देश में एक रुदाली गैंग है जो हमेशा रोते रहते हैं। जब जम्मू-कश्मीर से अनुच्छेद  हटा था तब ये रोए थे जब देश से रोहिं…
@USER भाजपा जब से सत्ता में आई है हिन्दू धर्म खतरे में हैभाजपा को सत्ता से हटा दीजिए हिन्दू धर्म सुरक्षित हो जाएगा ।
@USER औरत के कपड़े क्या नोचते होलड़कर जीतो दम है तोये नामांकन करने आई लखीमपुर की ब्लॉक प्रमुख प्रत्याशी ऋतु की अर्धनग्नन त…
@USER @USER सर नमस्कार  के  में  पद रिक्त होने के बाद भी पिछले  साल से भर्ती नहीं आई है। हम लोग  ल…
@USER सभी रीट्वीट करके अपनी अपनी आई डी प्रमोट करती हूं साथ में इनको फॉलो अवश्य करना है ।।  @USERसभी को प्रमोट क…
अंबेडकर की सच्चाई सामने आई गूगल ने बाबासाहेब को बताया आजाद भारत का प्रथम बलात्कारीमेंआरक्षणवापसलो…
@USER @USER जब तक हम ये जान पाते के जिंदगी क्या है  साली जिंदगी खत्म होने को आई
कैपिटलाइज़ेशन          पिछले सात…
हमें तो अब समझ में आई की भक्तों को अंधभक्त क्यों कहा जाता हैकुछ साल पहले गद्दारों के कारण देश गुलाम हो गया था…
@USER भाजपा जब से सत्ता में आई है हिन्दू धर्म खतरे में हैभाजपा को सत्ता से हटा दीजिए हिन्दू धर्म सुरक्षित हो जाएगा
@USER लुटियंस के बहुत से सेलिब्रिटी पत्रकारों नें दिल्ली के चर्चित दौरे पर आई एक मुख्यमंत्री के साथ बातचीत की होगी।पर क्या उनमें…
@USER भाजपा जब से सत्ता में आई है हिन्दू धर्म खतरे में हैभाजपा को सत्ता से हटा दीजिए हिन्दू धर्म सुरक्षित हो जाएगा ।
@USER भाजपा जब से सत्ता में आई है हिन्दू धर्म खतरे में हैभाजपा को सत्ता से हटा दीजिए हिन्दू धर्म सुरक्षित हो जाएगा ।
@USER लुटियंस के बहुत से सेलिब्रिटी पत्रकारों नें दिल्ली के चर्चित दौरे पर आई एक मुख्यमंत्री के साथ बातचीत की होगी।पर क्या उनमें…
@USER मुंबई नगरी की एक बड़ी अभिनेत्री है। जिनकी माता जी प्रख्यात ज्योतिष है। मुंबई के उधोग घरानों से लेकर बालीवुड तक सब उनके पास…
@USER  कहती आई है कि तमिलनाडु के  मंदिरों () को अस्पताल और स्कूल कॉलेज में बदल देना चाहिए। अधिकारियों ने उसकी तैयारी शुरू कर…
@USER कौन कहता है की     दफनाए हुए को          जलाया नही जाता आई थी मेरी कब्र पे        मुझसे मिलने अपने…
@USER लुटियंस के बहुत से सेलिब्रिटी पत्रकारों नें दिल्ली के चर्चित दौरे पर आई एक मुख्यमंत्री के साथ बातचीत की होगी।पर क्या उनमें…
@USER लेती नहीं दवाई माँजोड़े पाई-पाई माँदुःख थे पर्वत से लुकमानहारी नहीं लड़ाई माँइस दुनियां में सब मैले हैंकिस दुनि…
@USER लेती नहीं दवाई माँजोड़े पाई-पाई माँदुःख थे पर्वत से लुकमानहारी नहीं लड़ाई माँइस दुनियां में सब मैले हैंकिस दुनि…
@USER @USER सर जो जागृति पिछले  सालों में आई है अगर वही आग जलती रही तो निश्चित रूप से बहुत बड़ा बदलाव हिंदुओं में देखने…
@USER भाजपा जब से सत्ता में आई है हिन्दू धर्म खतरे में हैभाजपा को सत्ता से हटा दीजिए हिन्दू धर्म सुरक्षित हो जाएगा ।
@USER रघुकुल रीत सदा चली आईप्राण जाए पर वचन न जाईदहाड़ दो सनातनियों और सो जाओजयजयश्रीराम 
@USER लुटियंस के बहुत से सेलिब्रिटी पत्रकारों नें दिल्ली के चर्चित दौरे पर आई एक मुख्यमंत्री के साथ बातचीत की होगी।पर क्या उनमें…
@USER  के लिए सवर्ण वोट गले की हड्डी होता जा रहा हैमोदीजी रोज लतिया रहें हैं कि भागो भूतनी के तुम्हाए चक्कर मे दलित मुस…
@USER मुंबई नगरी की एक बड़ी अभिनेत्री है। जिनकी माता जी प्रख्यात ज्योतिष है। मुंबई के उधोग घरानों से लेकर बालीवुड तक सब उनके पास…
@USER संत शरण में आने से आई टले बलाय ज भाग्य में शूली हो कांटे में टल जाय कबीर साहेब
@USER लेती नहीं दवाई माँजोड़े पाई-पाई माँदुःख थे पर्वत से लुकमानहारी नहीं लड़ाई माँइस दुनियां में सब मैले हैंकिस दुनि…
@USER राजस्थान में कांग्रेस किसानों से कर्ज माफ़ी का वायदा करके सत्ता में आई। राहुल जी ने कहा था सरकार बनने के दो दिन के भीतर कर्ज…
